data_hora,temperatura_atual,umidade,registrado_em
26/02/2025 19:41,25,73,26/02/2025 19:41
26/02/2025 19:42,25,73,26/02/2025 19:42
26/02/2025 19:44,25,73,26/02/2025 19:44
26/02/2025 20:30,25,69,26/02/2025 20:30
